select Xtra_Curr.title, count(*) AS theCount
    FROM School_Xtracurr INNER JOIN Xtra_Curr
    ON School_Xtracurr.xtracurr_id = Xtra_Curr.id
    GROUP BY School_Xtracurr.xtracurr_id
    ORDER BY theCount DESC;

title                                                                                                 theCo
Urban Arts Program: Photography                                                                       1    
Documentary & Filmmaking                                                                              1    
After-School Support and Enrichment for Students: Tutoring and Regents Preparation (STARS)            1    
Saturday Tutoring                                                                                     1    
BEATS Music and Poetry                                                                                1    
Mentoring with various organizations                                                                  1    
Year Book                                                                                             1    
MOUSE Squad/Tech Squad                                                                                1    
NYPD Youth Explorers                                                                                  1    
School Newspaper �Paw Print�                                                                          1    
Student Activities (COSA)                                                                             1    
Students Against Destructive Decisions                                                                1    
International trips                                                                                   1    
Daily Peer Tutoring                                                                                   1    
Life Guard Training                                                                                   1    
Conflict Resolution and Mediation                                                                     1    
Creative Writing and Journalism                                                                       1    
Delta Club                                                                                            1    
Manhattan Village Academy (MVA) Spirit Week                                                           1    
Mole Day                                                                                              1    
Pi Day                                                                                                1    
Tour Guide                                                                                            1    
City Explorers                                                                                        1    
Fit and Fly at New York Sports Club                                                                   1    
Athletic and Tutoring Programs at Vanderbilt YMCA                                                     1    
Radio Rootz                                                                                           1    
Tutoring in major subject areas                                                                       1    
Vanguard Movement                                                                                     1    
Vanguard Student Government                                                                           1    
WNYC Radio Rookies                                                                                    1    
Digital Imaging                                                                                       1    
Editing                                                                                               1    
Instrumental Music (lessons)                                                                          1    
Stock Market                                                                                          1    
JSA                                                                                                   1    
Annual Concerts                                                                                       1    
Dramas                                                                                                1    
Theater Productions                                                                                   1    
ARISTA Honors Society                                                                                 1    
Big Sibs; as well as over 200 student-run clubs and publications                                      1    
Arts & Dance Festival and Talent Show                                                                 1    
Big Brothers Big Sisters                                                                              1    
Career Day                                                                                            1    
SPARK Youth Leadership                                                                                1    
Young Professionals Mentoring Program (YPMP)                                                          1    
Islands of Tolerance                                                                                  1    
Community Service Interest Club                                                                       1    
After-school Tutorial Sessions                                                                        1    
School newspaper                                                                                      1    
Sports and Arts School Foundation (SASF)                                                              1    
Corporate work-based learning mentoring with Big Brothers Big Sisters (American Express) and GCSA (D  1    
eSports                                                                                               1    
Gamer Haven                                                                                           1    
Gay Straight Alliance (GSA); Girls Empowerment Club                                                   1    
Media Crew                                                                                            1    
Moth StorySlam                                                                                        1    
Peer Mediation Club                                                                                   1    
Skateboarding with Stoked                                                                             1    
Technovation Challenge (App-Design for Girls)                                                         1    
Citywide performances in Vocal Music                                                                  1    
Community Service Outreach                                                                            1    
Musical Theatre & Instrumental Music                                                                  1    
Alumni Mentoring Program                                                                              1    
Virtual Enterprise Competition                                                                        1    
Smash Arts Productions                                                                                1    
Teen Choice Peer Leaders                                                                              1    
JKO Leaders Club                                                                                      1    
ELL Club                                                                                              1    
Morgan Stanley Mentoring Program                                                                      1    
Big Brother/Big Sisters                                                                               1    
Ping Pong Club                                                                                        1    
P3 Peer Mentoring Program                                                                             1    
and National Honor Society.                                                                           1    
Annual Fall Musical Production                                                                        1    
Career Development                                                                                    1    
Advanced Dance                                                                                        1    
Repertory Ensemble                                                                                    1    
Spring Play Production                                                                                1    
Penguin Report                                                                                        1    
Theatre Ensemble                                                                                      1    
More than twenty campus clubs offered                                                                 1    
including Cooking                                                                                     1    
and Basketball                                                                                        1    
Sailing and Boatbuilding                                                                              1    
Theater and Musical Theater                                                                           1    
Fairness                                                                                              1    
GSX                                                                                                   1    
Girls' Group                                                                                          1    
Boys' Group                                                                                           1    
Principal's Book Club                                                                                 1    
T'ai Chi                                                                                              1    
Workout                                                                                               1    
Harmony in the Halls                                                                                  1    
Hydroponics and Aquaponics Internships                                                                1    
International Center for Photography                                                                  1    
Junior Achievement of New York                                                                        1    
NYPD Explorer Program                                                                                 1    
Raices Latinas                                                                                        1    
Revolution SAT Prep                                                                                   1    
The Cooper Union Saturday Program                                                                     1    
Governor's Committee on Scholastic Achievement (GCSA)                                                 1    
Internship Center for Urban Pedagogy (CUP)                                                            1    
Poets and Playwrights                                                                                 1    
Urban Arts Peapod Academy                                                                             1    
Youth Empowerment Leadership for Boys and Girls; Partnership programs in art                          1    
media                                                                                                 1    
music production                                                                                      1    
theater                                                                                               1    
playwriting                                                                                           1    
poetry                                                                                                1    
and photography                                                                                       1    
Bridge                                                                                                1    
Chinese Culture and Enrichment                                                                        1    
Gallery Exhibits                                                                                      1    
Lion Dance                                                                                            1    
Math Research                                                                                         1    
Saturday ESL Classes                                                                                  1    
Entrepreneur/Start-up Workshops                                                                       1    
Science Olympics                                                                                      1    
Programming and Software Development                                                                  1    
Maritime: Aquabotics                                                                                  1    
Fishing                                                                                               1    
Boat Building                                                                                         1    
Marine Systems Technology                                                                             1    
Vessel Operations; Sustainability: Composting                                                         1    
Harbor Corps                                                                                          1    
Harbor Seals; Other: National Honor Society (NHS)                                                     1    
National Park Service                                                                                 1    
Student Advisors Instilling Leadership (SAIL)                                                         1    
Bank of America Future Leaders                                                                        1    
College Mentoring for Access and Persistence (MAP)                                                    1    
The Future Project                                                                                    1    
Peer Mediation Center                                                                                 1    
Senior Activities                                                                                     1    
The Dream Team                                                                                        1    
Anti-Defamation League Peer Leaders (ADL)                                                             1    
Sports Blogging/ Webcasting                                                                           1    
Fashion Cares Community Service Organization                                                          1    
�The Hanger� Literary Magazine                                                                        1    
�The Image� School Newspaper                                                                          1    
iMag Fashion Magazine; Yoga                                                                           1    
Royal Academy of Digital Arts                                                                         1    
Accessories                                                                                           1    
Adopt-a-Student Mentorship                                                                            1    
Distributive Education Club of America (DECA)                                                         1    
Fashion Institute of Technology Illustration                                                          1    
Fashion With A Purpose                                                                                1    
Film & Design                                                                                         1    
Library Chit Chat                                                                                     1    
Peer Leadership Advisories                                                                            1    
Portfolio                                                                                             1    
Restorative Circles                                                                                   1
Rif Raf Book Club                                                                                     1    
Tailoring                                                                                             1    
Styling                                                                                               1    
Charles Nolan Fashion Club                                                                            1    
Fashion Forecasting                                                                                   1    
Korean Pop Culture                                                                                    1    
Animal Wellness                                                                                       1    
Latin Groove Dance                                                                                    1    
Display & Mannequin Styling Club                                                                      1    
Consensus-based decision-making                                                                       1    
Critical Friends groups                                                                               1    
Faculty and Staff Hiring Committee                                                                    1    
HealthWise                                                                                            1    
HumaniTube                                                                                            1    
Musical Groups                                                                                        1    
NYC Outward Bound Adventure                                                                           1    
PrepCorps                                                                                             1    
Restorative Justice                                                                                   1    
Sailing                                                                                               1    
Shakespeare Society                                                                                   1    
Staff Inquiry Groups                                                                                  1    
The Great Saunter                                                                                     1    
The Great Sweep                                                                                       1    
Visual and Performing Arts                                                                            1    
Nia Dance                                                                                             1    
Chelsea SAT                                                                                           1    
Computer Repair                                                                                       1    
Electrical Engineers                                                                                  1    
AIGA NYC (professional association for design) Mentoring                                              1    
Film/Video                                                                                            1    
Exhibitions in Kenny Art Gallery                                                                      1    
Interior Design                                                                                       1    
Literary Arts Journal                                                                                 1    
Museum Hopping                                                                                        1    
Kaplan Saturday SAT Prep                                                                              1    
Old Hat Illustration                                                                                  1    
School Student Leaders                                                                                1    
Silk Screening                                                                                        1    
Spring Arts Festival                                                                                  1    
Teen Tutoring                                                                                         1    
Saturday Art Directors                                                                                1    
The Art Students League of New York                                                                   1    
Digital Creations                                                                                     1    
Forensic Science                                                                                      1    
Kaplan College Prep                                                                                   1    
Macy�s                                                                                                1    
3-D Productions                                                                                       1    
CARE Club (Community Activists Reaching Everyone)                                                     1    
College Essay Writing Weekend Workshops; Cultural and Museum Partnerships including the Metropolitan  1    
After-school tutoring for academic courses                                                            1    
After-school Regents preparatory classes                                                              1    
Award-Winning Drama Club                                                                              1    
Internships through our various partnerships                                                          1    
Central Park Sports                                                                                   1    
Poetry Writing and Performance                                                                        1    
Running and Fitness                                                                                   1    
Yearbook; Students are able to start clubs based on their own interests                               1    
American Social Democracy Professional Development                                                    1    
Geriatric Program                                                                                     1    
Mentoring in Medicine: Science and Exploration Program                                                1    
Modeling and Fashion                                                                                  1    
Neighborhood Defender Service of Harlem (NDS)                                                         1    
The Carmel Hill Fund (Accelerated Reading)                                                            1    
Asian Cultures                                                                                        1    
Community Cares                                                                                       1    
Film; Additional clubs based on interest                                                              1    
Arts Magazine                                                                                         1    
Digital Film                                                                                          1    
End of Tunnel Press                                                                                   1    
Musical Bands (Jazz                                                                                   1    
Blues Rock)                                                                                           1    
Poets                                                                                                 1    
Student Movement Against Cancer                                                                       1    
Annual Musical                                                                                        1    
Chinese Student Association                                                                           1    
Claymazing                                                                                            1    
Cult Classics                                                                                         1    
Dance Programs                                                                                        1    
DaVinci Scholars Program                                                                              1    
Disney VoluntEars                                                                                     1    
Drama Festivals                                                                                       1    
Future Voters of America                                                                              1    
Harry Potter                                                                                          1    
Jewish Union                                                                                          1    
National Language Honors Society                                                                      1    
Orchestral and Vocal Concerts                                                                         1    
Random Acts of Kindness                                                                               1    
Relay For Life                                                                                        1    
Science Outreach League                                                                               1    
Shamisen                                                                                              1    
Splashes of Hope                                                                                      1    
Ukulele For Good                                                                                      1    
Advocacy Class                                                                                        1    
Homework Helpers                                                                                      1    
Newspaper Club                                                                                        1    
Math Team for NYC Interscholastic Math League                                                         1    
Girls� Club                                                                                           1    
Battle of the Grades� (schoolwide sports                                                              1    
activities and competitions)                                                                          1    
Annual overnight school trip for sophomores; Cartooning                                               1    
Fashion Club and fashion shows                                                                        1    
Jiu Jitsu                                                                                             1    
Musical Instruments (Guitar)                                                                          1    
PM School for credit accumulation                                                                     1    
POSSE program                                                                                         1    
Saturday programs                                                                                     1    
School dances                                                                                         1    
Video Game nights                                                                                     1    
Anatomy                                                                                               1    
Hunter College Nursing Program                                                                        1    
School Chorus                                                                                         1    
Hunter College Scientific Research Program                                                            1    
Environmental and various Science Clubs                                                               1    
Face the Music                                                                                        1    
Academic Homework Lab                                                                                 1    
Composer Craft                                                                                        1    
Theory Tutoring                                                                                       1    
Young Artist Program                                                                                  1    
A capella                                                                                             1    
Lyricism                                                                                              1    
Student Bands                                                                                         1    
Art workshops led by community organizations; Lunch and After-School Tutorial                         1    
Youth Historians (Columbia University)                                                                1    
Young Harlem                                                                                          1    
Fordham LEAP                                                                                          1    
PLATO Learning                                                                                        1    
Student Council; Others based on interest                                                             1    
Electronic Music Production                                                                           1    
Pencil Project                                                                                        1    
Field trips to area museums and cultural institutions; Homework Help and Tutoring; Regents Examinati  1    
East Harlem Pride Sports Program                                                                      1    
Improv Theater Group                                                                                  1    
Senior Siblings                                                                                       1    
and Internship Program; Students can form new clubs with a teacher sponsor                            1    
ACE2                                                                                                  1    
Female Fitness                                                                                        1    
Futsal                                                                                                1    
Greenhouse                                                                                            1    
Group Fitness                                                                                         1    
MCSM Improv                                                                                           1    
Oppa Noona                                                                                            1    
Principal's Advisory Council                                                                          1    
Spartans Tae Kwan-Do                                                                                  1    
Sport                                                                                                 1    
Yu-Gi-Oh                                                                                              1    
Art Club and Exhibition                                                                               1    
Finer Things                                                                                          1    
Honors Book                                                                                           1    
Harlem DNA Lab                                                                                        1    
My Way Girls Group                                                                                    1    
Theatre Program                                                                                       1    
Yoga; After School tutoring                                                                           1    
Teacher Office Hours before school                                                                    1    
College/Cultural trips to Washington                                                                  1    
DC and CUNY/SU                                                                                        1    
NY Career Day                                                                                         1    
Honors Breakfast                                                                                      1    
Welcome Week                                                                                          1    
Thanksgiving Feast                                                                                    1    
Intraschool Advisory team-building and competitions                                                   1    
Research & Action (CARA) Youth Leaders                                                                1    
Step-Up Program                                                                                       1    
Young Audiences of NY Arts Program (Choir                                                             1    
Improv Theatre)                                                                                       1    
The Madison Times School Newspaper                                                                    1    
Science Lab Tech                                                                                      1    
Double Discovery                                                                                      1    
Opportunity Network                                                                                   1    
Sponsors for Educational Opportunity Scholars                                                         1    
High School Law Institute                                                                             1    
East Harlem Tutorial                                                                                  1    
The Brotherhood                                                                                       1    
Girls                                                                                                 1    
Inc.                                                                                                  1    
Search and Care Community Service                                                                     1    
3D Printing Club                                                                                      1    
Go Green                                                                                              1    
Community Improvement                                                                                 1    
Publishing Club                                                                                       1    
READ Foundation Internships                                                                           1    
Science Research opportunities with Columbia University                                               1    
Social Justice Club                                                                                   1    
Step-Up Women's Network Leadership program                                                            1    
Step Up Pathways to Professions                                                                       1    
Dance (Latin                                                                                          1    
Drumming Group                                                                                        1    
Hip-Hop)                                                                                              1    
Young Women's Leadership Club                                                                         1    
Young Men's Leadership Club                                                                           1    
Industry/Business Mentors                                                                             1    
PM                                                                                                    1    
Saturday School; As the school grows                                                                  1    
we expect to offer JROTC programs for interested students                                             1    
Knitting & Crochet                                                                                    1    
Community Service (Helping-Hands)                                                                     1    
Song/Writing Guitar                                                                                   1    
College and Scholarship                                                                               1    
Architectural Design                                                                                  1    
Book Circles                                                                                          1    
Math Bowl                                                                                             1    
Math Problem Solving                                                                                  1    
Multimedia Design                                                                                     1    
Neuroscience                                                                                          1    
Urban Ecology                                                                                         1    
Contrariwise Philosophy Journal                                                                       1    
Gay-Straight Student Alliance Student Government                                                      1    
Webpage; Students serve on the Borough Advisory Council                                               1    
Sports and Arts Foundation                                                                            1    
Digital Video Production                                                                              1    
Jam Sessions                                                                                          1    
Performing Arts Major Showcase                                                                        1    
Spring Showcase                                                                                       1    
Winter Showcase                                                                                       1    
Young Men's Club                                                                                      1    
Hip Hop Club                                                                                          1    
EPIC Theatre Shakespeare Remix                                                                        1    
After-school                                                                                          1    
weekend & holiday academic and enrichment programs; Art                                               1    
School Radio (WFDA)                                                                                   1    
School Newspaper (The North Star); Mentoring                                                          1    
Tutoring & Mediation Programs; BOTA                                                                   1    
NY Greenhouse                                                                                         1    
Hydroponic & Horticulture Programs; Maroon & Gold Beautification Team                                 1    
White & Blue Sustainability Team; National Honor Society; Hayden Math & Science Programs; Schwartz S  1    
Albert Schweitzer�s Leadership for Life Program; Domestic and international travels (e.g. Florida     1    
Nashville                                                                                             1    
Canada                                                                                                1    
Brazil                                                                                                1    
Japan                                                                                                 1    
China                                                                                                 1    
Egypt                                                                                                 1    
Ghana                                                                                                 1    
France                                                                                                1    
Italy                                                                                                 1    
Greece                                                                                                1    
Ireland)                                                                                              1    
Choral Ensemble                                                                                       1    
Squash Book                                                                                           1    
Dr. Dragon                                                                                            1    
Math and Science Magazine                                                                             1    
EAT NYC                                                                                               1    
Euro- Challenge                                                                                       1    
Fed-Challenge                                                                                         1    
FIRST Tech Challenge                                                                                  1    
Flying Dragons Cross Country Running                                                                  1    
Gastronomy                                                                                            1    
German                                                                                                1    
Harlem IS (Dwyer Docents)                                                                             1    
Junior Statesman of America (JSA)                                                                     1    
National Society of Black Engineers (NSBE)                                                            1    
Peer and Teacher Tutoring                                                                             1    
Spades/Chess                                                                                          1    
Varsity and JV Math Team                                                                              1    
International League of Youth (ILY) Yearbook                                                          1    
Health Occupations Student Association                                                                1    
Arts Exploration                                                                                      1    
ELA and Math Tutorials                                                                                1    
Exploring Da Heights                                                                                  1    
Lang Science                                                                                          1    
Skittles                                                                                              1    
Spirit Committee                                                                                      1    
Students Against Destructive Decisions (SADD)                                                         1    
Technology Art                                                                                        1    
After-school Music and Art Groups                                                                     1    
After-school Tutoring Program                                                                         1    
