title                                                                        theCount  
The Challenge                                                                1         
Women's Empowerment                                                          1         
African American Club                                                        1         
B’nai B'rith                                                                 1         
Center for Arts Education                                                    1         
CUNY Arts                                                                    1         
Gamers Club                                                                  1         
Jewish Culture Club                                                          1         
Musical and Dramatic Plays                                                   1         
Musical Concerts                                                             1         
Project Hope                                                                 1         
Sci-Fi                                                                       1         
Volunteer Activities                                                         1         
SmHeart Girls                                                                1         
based on student interest                                                    1         
including: Gaming Club                                                       1         
Culture Club                                                                 1         
Russian Language and Culture                                                 1         
and Sign Language                                                            1         
Games                                                                        1         
Peer Educators                                                               1         
Drum line                                                                    1         
CookingTrack Club                                                            1         
Lunch time touch football                                                    1         
Wellness Committee                                                           1         
Annual Cultural Heritage Celebration                                         1         
Annual Welcome Back BBQ                                                      1         
RROCS                                                                        1         
Gentlemen Scholars                                                           1         
Poetry Out Loud Competition                                                  1         
Student Ambassadors Program                                                  1         
Arts Festival                                                                1         
Eagle Gives Back                                                             1         
Future Teachers of America                                                   1         
Game Design Club                                                             1         
DNA Research Team                                                            1         
Filipino American Human Services Inc. (FAHSI)                                1         
Kaplan SAT Program for Juniors and Sophomores                                1         
Rewarding Achievement (REACH)                                                1         
Museum Studies                                                               1         
Rocketry Club                                                                1         
¡Cuidate! (Youth Development Program)                                        1         
Work Initiative Act (WIA) Youth Program                                      1         
College Preparatory                                                          1         
Chat and Chew                                                                1         
Sports’' Conditioning; Our clubs are based on our students’' interests and   1         
Advanced English                                                             1         
Baile Folklorico                                                             1         
Campaña Verde                                                                1         
Comics                                                                       1         
Family Festivals                                                             1         
Latino Youth for Higher Education Program (LYHEP)                            1         
Social Action Projects and Campaigns                                         1         
Student Congress                                                             1         
BHSEC Cares                                                                  1         
Outing                                                                       1         
The Alliance                                                                 1         
Bengali Club                                                                 1         
SPARK Peer Helpers                                                           1         
International Bridge Building                                                1         
Musical and Play Productions                                                 1         
Web Design/Internet                                                          1         
Early College Program                                                        1         
Middle College National Consortium                                           1         
Beginner Guitar                                                              1         
LaGuardia Community College classes and gym facilities                       1         
YMCA for after-school sports (badminton                                      1         
volleyball                                                                   1         
soccer                                                                       1         
basketball)                                                                  1         
Saturday Literacy Explorers Program                                          1         
Cultural clubs                                                               1         
International food festival                                                  1         
Action Team                                                                  1         
Advertising Futures Campaign                                                 1         
AP History Team                                                              1         
Career Cruising                                                              1         
Carnegie Hall Concerts and In-School Workshops                               1         
Future Leaders of America (FBLA)                                             1         
Mathematica                                                                  1         
Multicultural Performances                                                   1         
Poem in Your Pocket                                                          1         
Senior Planning Committee                                                    1         
Shakespeare Oratory Competition                                              1         
Spring Vocal and Instrumental Concert                                        1         
Story Corps                                                                  1         
Student Center                                                               1         
Wellness Team                                                                1         
Winter Arts Festival                                                         1         
College Readiness                                                            1         
EatWise                                                                      1         
Full piano lab with 30 keyboards                                             1         
Garden Club at Long Island City Roots Community Garden                       1         
Chinese Calligraphy                                                          1         
Classics                                                                     1         
Future Doctors                                                               1         
4H Club                                                                      1         
Junior State of America                                                      1         
Maspeth Aeronautics and Space Association (MASA)                             1         
Homeric Society                                                              1         
Gilder Lehrman                                                               1         
Speech Team                                                                  1         
Unity                                                                        1         
Creative Arts Group                                                          1         
Air Force Junior Reserve Officers’ Training Corps (AFJROTC)                  1         
Air Traffic Control Club                                                     1         
Aircraft Structural Repair                                                   1         
Aviation High School Band/Music                                              1         
Presidents’/Captains’ Association                                            1         
Sister Circle                                                                1         
Concert and Jazz Bands                                                       1         
Youth Development Program                                                    1         
Community Arts                                                               1         
Daily Tutoring; We plan to offer Language Lab                                1         
and others proposed by students                                              1         
Ivy Society                                                                  1         
Silver Chord                                                                 1         
Yearbook; Students are encouraged to initiate clubs pertaining to their ind  1         
Digital Video/Photography                                                    1         
IT; Green Team                                                               1         
Korean Fan Dancing                                                           1         
Dream Team                                                                   1         
Can You 24?                                                                  1         
Chinese Erhu                                                                 1         
Cultural Studies in China                                                    1         
Junior NAACP Club                                                            1         
Literacy Lab                                                                 1         
Multicultural Night                                                          1         
NYPD Explorers Program                                                       1         
Summer in Japan                                                              1         
Talent Show; Other clubs by student request                                  1         
Broadcast                                                                    1         
Election Connection                                                          1         
Friday Jam                                                                   1         
Principal's Advisory                                                         1         
Town Hall                                                                    1         
Videography                                                                  1         
Agriculture Publication                                                      1         
Agriculture Sales Team                                                       1         
Anti-Bullying Alliance                                                       1         
Aspire                                                                       1         
Chemistry Olympiad                                                           1         
College Now                                                                  1         
College Visitations                                                          1         
Desi Club                                                                    1         
Educate for Peace and Progress                                               1         
Envirothon Team                                                              1         
Duelist Club                                                                 1         
Equine Team                                                                  1         
Floriculture                                                                 1         
Freshman Year Initiative                                                     1         
Future Farmers of America (FFA)                                              1         
Indo-Pak                                                                     1         
Junior Air Force ROTC Drill Team                                             1         
K-Pop                                                                        1         
Livestock Judging Team                                                       1         
N.Y.C.S.E.F                                                                  1         
S.I.S.                                                                       1         
Civil Engineering                                                            1         
Small Animal Care                                                            1         
Student Ambassador                                                           1         
Winter Carnival                                                              1         
Attendance Intervention Program                                              1         
Beginning Vocal                                                              1         
Leo's Club                                                                   1         
Sports and Arts High School Today Program                                    1         
Festival of Nations                                                          1         
Freshman Grade Leaders                                                       1         
Junior Grade Leaders                                                         1         
NYC & NYS History Day                                                        1         
Sophomore Grade Leaders                                                      1         
Spring Concert                                                               1         
Student Government; More than 25 clubs including: Amnesty International      1         
Creative Writers’ Workshop                                                   1         
Free the Children                                                            1         
PAWS                                                                         1         
Society for the Preservation of the Earth                                    1         
Feastivus                                                                    1         
Peace Day                                                                    1         
Alley Pond Park Adventure Course                                             1         
Student Lounge                                                               1         
Freshman Orientation and Welcome Activities                                  1         
International Trip                                                           1         
Senior Ski Trip                                                              1         
Mural Projects                                                               1         
Gamer’s Republic                                                             1         
Talent Pop Club                                                              1         
Virtual Enterprise; and other student-organized clubs of interest            1         
Leaders                                                                      1         
The Verdict                                                                  1         
Bumblebee                                                                    1         
Health Occupation Students                                                   1         
Chamber Orchestra                                                            1         
French Club                                                                  1         
Gateway                                                                      1         
South Asian Culture                                                          1         
Balloon Twisting                                                             1         
A’Cappella                                                                   1         
Ukulele                                                                      1         
Autism Speaks                                                                1         
Teens Against Bullying                                                       1         
Rock                                                                         1         
Junior Reserve Officers' Training Corp (JROTC)                               1         
Winter & Spring Concerts                                                     1         
Holiday Spectacular                                                          1         
Caribbean                                                                    1         
Comparative Literature                                                       1         
Desi                                                                         1         
Future Educators of America                                                  1         
Healthy Heart                                                                1         
Hearts on a String                                                           1         
Hebrew                                                                       1         
Horticulture                                                                 1         
Humans of Francis Lewis                                                      1         
Nu Gamma Psi                                                                 1         
Seekers Christian Fellowship                                                 1         
Share an Umbrella                                                            1         
Solitaire-Anti-Bullying                                                      1         
TVB Cantonese                                                                1         
ACE Program                                                                  1         
Boys Football                                                                1         
Career Week                                                                  1         
Cartooning                                                                   1         
College Fair                                                                 1         
Desi/International                                                           1         
Efficacy Institute                                                           1         
Humane Society                                                               1         
Jobs/College Readiness                                                       1         
Leaders Organization                                                         1         
Scholars                                                                     1         
Senior Executive Board                                                       1         
Spring and Winter Festival for the Performing Arts                           1         
World Wrestling Entertainment (WWE)                                          1         
Badminton / Ping Pong                                                        1         
B-Boys                                                                       1         
Chinese Yo-Yo                                                                1         
Citadel                                                                      1         
Criminology                                                                  1         
CrossFit                                                                     1         
CTE                                                                          1         
K-POP                                                                        1         
Multicultural Clubs                                                          1         
New York City Experience                                                     1         
Poetry Read Aloud                                                            1         
RAFA                                                                         1         
Sikh Student Association                                                     1         
Smiles for Miles                                                             1         
Senior                                                                       1         
Junior                                                                       1         
Sophomore and Freshman Councils                                              1         
Sports Medicine                                                              1         
Study                                                                        1         
After-school Samuel Field Y Recreation Program                               1         
Ambassadors Program                                                          1         
Asian American                                                               1         
Books and Bagels                                                             1         
Strategy/Gaming                                                              1         
Glamour Girls                                                                1         
Save Our Society                                                             1         
Lunch & Learn                                                                1         
NYC Outward Bound                                                            1         
Peace                                                                        1         
ECO Club                                                                     1         
New York Academy of Medicine                                                 1         
Latin American Student Organization                                          1         
Clinical Research                                                            1         
Scholars’ Shadow Internships                                                 1         
The World of Art; Carnegie Hall Program                                      1         
Spanish Culture                                                              1         
Summer Jobs Program                                                          1         
Knitting & Crocheting                                                        1         
PBIS                                                                         1         
Accelerated Classes                                                          1         
Nova Net (online classes)                                                    1         
August Martin High School considers athletics to be an extension of the cla  1         
whether you are a student athlete or a member of our community rooting for   1         
our athletic teams have competed on the highest levels and teams have earne  1         
state and national exposure. We boast championships in Football              1         
if your goal is to “cheer” our team victory or to compete against the city’  1         
Instructional Technology                                                     1         
South Asian Youth Action (SAYA!)                                             1         
Sports and Arts Foundation (SASF)                                            1         
Art/Music Fair                                                               1         
Fashion/Talent Show                                                          1         
Beautification Club                                                          1         
Sports Night                                                                 1         
March of Dimes Walk                                                          1         
Blood Drives                                                                 1         
Clothing Drive                                                               1         
Holy Child Food Pantry (Food Drive)                                          1         
Police Athletic League (PAL) Neighborhood Cleanup                            1         
Afro-American                                                                1         
Artsonia                                                                     1         
Asian                                                                        1         
Callandra                                                                    1         
Google CS First                                                              1         
LBGTQ                                                                        1         
PBIS Ambassadors                                                             1         
Saturday Literacy Center                                                     1         
SAYA!                                                                        1         
Construction Challenge                                                       1         
Field Trips                                                                  1         
Mentors                                                                      1         
Crew                                                                         1         
Outdoor Expeditions                                                          1         
Boatworks                                                                    1         
After-School Academic Support                                                1         
LGBTQ Club                                                                   1         
dancing                                                                      1         
and singing                                                                  1         
Athletes Helping Athletes                                                    1         
COSA                                                                         1         
Latin American and Caribbean Student Union (LACSU)                           1         
Student Youth Fellowship Association (SYFA)                                  1         
Rock and Latin Jazz Bands                                                    1         
JavaScript                                                                   1         
Python)                                                                      1         
3D modeling with 3D Printers and Laser Cutting                               1         
Seniors’ Club                                                                1         
Skillbuilder’s Club                                                          1         
Law team                                                                     1         
Graphic Novel & Animation                                                    1         
Medical Club                                                                 1         
4H                                                                           1         
Chinese/Korean/Japanese                                                      1         
Comic Book/Graphic Novel                                                     1         
Forest Hills Law Association                                                 1         
Forest Hills Running                                                         1         
Girl Up Club                                                                 1         
Health/Nutrition                                                             1         
Judaica                                                                      1         
Political Awareness                                                          1         
SAYA                                                                         1         
Accents (Foreign Language Magazine)                                          1         
Forester (Yearbook)                                                          1         
Medicus Journal                                                              1         
Computer/Cisco                                                               1         
Pre-Teachers                                                                 1         
Thespians; More than twenty-five additional clubs                            1         
Automotive Troubleshooting Team                                              1         
Driver Education                                                             1         
Edison Spirit                                                                1         
Glamor Gals                                                                  1         
Hispanic Culture                                                             1         
Peer Helpers                                                                 1         
Sound and Stage Crew                                                         1         
Urban Poetry                                                                 1         
Women in Technology                                                          1         
Annual Blood Drive                                                           1         
Breast Cancer Awareness Program                                              1         
Disaster Relief Initiatives                                                  1         
FED Challenge                                                                1         
Feed the Hungry Campaign                                                     1         
Guidance Workshops                                                           1         
Haitian Relief Fund                                                          1         
Health and Wellness                                                          1         
Independent Study                                                            1         
Santa’s Helpers Toy Drive                                                    1         
Social Wellness                                                              1         
St. Jude Children’s Research Hospital                                        1         
Teacher Assistant Program (TAP)                                              1         
Rock & Recording                                                             1         
Board Game                                                                   1         
Chemistry and Physics Olympiads                                              1         
Christian Fellowship                                                         1         
Polar Bear Club                                                              1         
Sigma Sorority                                                               1         
Expanded Success Initiative (ESI) program                                    1         
ELITE                                                                        1         
Television Production Studio                                                 1         
Health Occupations Students of America                                       1         
Student Advisory Board                                                       1         
Improv Group                                                                 1         
QPA Cafe Expressions                                                         1         
Video Editing Club                                                           1         
DJ Club                                                                      1         
Health & Nutrition                                                           1         
Student Government/Ambassador Program                                        1         
After-School Enrichment Classes                                              1         
Ambassador's Clubs                                                           1         
Brothers and Sisters Groups                                                  1         
Men of Distinction                                                           1         
College Fairs and Trips                                                      1         
Exemplary Women                                                              1         
Gateway Institute                                                            1         
Portfolio Planning                                                           1         
Extended Day                                                                 1         
Peer Mentorship Program                                                      1         
Intramural Athletics                                                         1         
New Media                                                                    1         
American Historical Society                                                  1         
Queensborough Community College                                              1         
WISE Financial Literacy Program                                              1         
Christian Students                                                           1         
UFO International (Talent Show)                                              1         
Young Men's Alliance                                                         1         
Project Prize                                                                1         
FDNY Explorers                                                               1         
Game Design                                                                  1         
Words from Within Poetry                                                     1         
Project Prize Queensborough Community College (QCC) Liberty Partnership      1         
Television Production and Editing                                            1         
Class Ambassadors                                                            1         
Young Women’s Group; Other Student-proposed clubs and activities             1         
College Discovery Day                                                        1         
Cool Women Hot Jobs                                                          1         
Intensives                                                                   1         
College Visits                                                               1         
3-D Printing                                                                 1         
Globaloria                                                                   1         
She’s the First                                                              1         
TYWLS Volunteers                                                             1         
Hydroponic Gardening                                                         1         
Open House                                                                   1         
Cosplay                                                                      1         
Woodshop                                                                     1         
Afro-Cuban Hand Drumming                                                     1         
Brilliant Cheer Pack                                                         1         
Alumni Crew                                                                  1         
Clipper                                                                      1         
Generation Citizen                                                           1         
Group Piano Lessons                                                          1         
Mediterranean                                                                1         
Nepali                                                                       1         
Writing/Progressions                                                         1         
Fashion/Modeling                                                             1         
Mock Trail                                                                   1         
Multicultural Festival                                                       1         
Digital Media Program                                                        1         
Winter and Spring Concerts; More than twenty Multicultural and Interdiscipl  1         
Fundraising Committees                                                       1         
Helping Hands                                                                1         
Improvisation                                                                1         
National Chorale                                                             1         
Photojournalism                                                              1         
Prom                                                                         1         
Tropical Fish                                                                1         
Climbing                                                                     1         
Annual Winter Concert/Spring Concert                                         1         
Current Events through Media                                                 1         
Global Careers and Education                                                 1         
International Food Festival                                                  1         
Media Team/Digital Movie                                                     1         
Mediation-Negotiation                                                        1         
New Student Orientation                                                      1         
Saturday Academic Program                                                    1         
Stage Production                                                             1         
Video/Media Team                                                             1         
Big Sib                                                                      1         
College Discovery                                                            1         
Eagles in the Afternoon Radio Show                                           1         
SADD (Students Against Destructive Decisions)                                1         
Spirit Squad (Cheerleaders)                                                  1         
Blood Donation Drives                                                        1         
Charity Walks                                                                1         
Girls Softball                                                               1         
Global Action Project                                                        1         
Vocal and Instruments                                                        1         
It Gets Better                                                               1         
Japanese Culture and Language                                                1         
Taiko Drumming and Ukulele Ensemble                                          1         
Close Up                                                                     1         
Club 360                                                                     1         
Knitting/Crocheting                                                          1         
SING!                                                                        1         
Sci Fi/Horror                                                                1         
Family Arts Nights                                                           1         
High School Musical Review                                                   1         
Peer Teaching                                                                1         
Petrides Against Cancer Society                                              1         
Petrides Chapter of Habitat for Humanity                                     1         
SING Competition                                                             1         
Spring Musical Production                                                    1         
Baruch/Merrill Lynch Initial Public Offering (IPO) Challenge                 1         
Federal Challenge                                                            1         
First Aid/CPR                                                                1         
Ice Hockey                                                                   1         
Color Guard                                                                  1         
News Channel                                                                 1         
Small Learning Community-based Activities                                    1         
Social Obstacles                                                             1         
Stage Design                                                                 1         
Eatwise                                                                      1         
Grade Councils                                                               1         
Culture Clubs (Jewish                                                        1         
Muslim)                                                                      1         
City Outreach                                                                1         
Hip-Hop Crew                                                                 1         
Dream Team (Dream Act)                                                       1         
Self Defense                                                                 1         
TV Production of Good Morning Port Richmond                                  1         
Small Learning Community-based Activities and Trips                          1         
Fashionville                                                                 1         
Junior Reserve Officers’ Training Corps (JROTC) Drill Team                   1         
Play It Smart                                                                1         
Seamers                                                                      1         
Anti-Bullying Presentations                                                  1         
Awareness (Animal                                                            1         
Islamic                                                                      1         
Women’s                                                                      1         
Black                                                                        1         
AIDS)                                                                        1         
Astronomy Research                                                           1         
Food Justice                                                                 1         
Foreign Exchange                                                             1         
Health Ambassadors                                                           1         
Journalism/Yearbook                                                          1         
Jr. Statesmen of America                                                     1         
Mathematics                                                                  1         
MSA                                                                          1         
NJROTC Drill Team                                                            1         
