title                                                                        theCount  
Marketing/Public Relations                                                   2         
Social Action                                                                2         
Improv                                                                       2         
Autism Awareness                                                             2         
Jazz Ensemble                                                                2         
Nursing                                                                      2         
Media Arts                                                                   2         
Public Speaking                                                              2         
Singing                                                                      2         
Museum                                                                       2         
Musicals                                                                     2         
Dances                                                                       2         
Fed Challenge                                                                2         
Global Glimpse                                                               2         
Media Production                                                             2         
Intramural Sports                                                            2         
Men of Strength                                                              2         
Movie Club                                                                   2         
JROTC                                                                        2         
Tennis Club                                                                  2         
Improv Comedy                                                                2         
NYPD Explorers                                                               2         
Ambassadors                                                                  2         
Outdoor Adventure                                                            2         
Peer Counselors                                                              2         
Academic Support                                                             2         
College for Every Student (CFES)                                             2         
Screen Printing                                                              2         
Fairness Committee                                                           2         
Student Activities Committee                                                 2         
Craft                                                                        2         
Regents Review                                                               2         
Fundraising Committee                                                        2         
Play Production                                                              2         
Murals                                                                       2         
Manga                                                                        2         
College Access                                                               2         
International Travel                                                         2         
Ecology                                                                      2         
Spain                                                                        2         
Cross Country                                                                2         
Strings                                                                      2         
Aerobics                                                                     2         
Anime/Manga Club                                                             2         
Capoeira                                                                     2         
Changing the Odds                                                            2         
Network for Teaching Entrepreneurship (NFTE)                                 2         
Steppers                                                                     2         
Wrestling                                                                    2         
Baseball                                                                     2         
Open Mics                                                                    2         
Readings                                                                     2         
Urban Word                                                                   2         
Musical Productions                                                          2         
Softball                                                                     2         
Readings and Performances                                                    2         
Zumba                                                                        2         
BuildOn                                                                      2         
Drum Line                                                                    2         
Open Gym                                                                     2         
Jazz                                                                         2         
Peer Counseling                                                              2         
Technology Squad                                                             2         
Slam Poetry                                                                  2         
Girls Club                                                                   2         
Literature Circle                                                            2         
National Foundation for Teaching Entrepreneurship (NFTE)                     2         
CHAMPS                                                                       2         
New York Police Department (NYPD) Explorers                                  2         
Moot Court Team                                                              2         
College Summit                                                               2         
Culture Clubs                                                                2         
Vision                                                                       2         
Pep Rallies                                                                  2         
Poetry Cafe                                                                  2         
